"","indivID2012","ageY","ageM","sex","relHH","relig","married","regionBorn","bioDadinHH","bioDadEduc","bioDadJob","bioMominHH","bioMomEduc","bioMomJob"
"726","0102090060208301",38,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"727","0102090060208302",36,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"728","0102090060208303",18,NA,1,3,1,1,1,1,4,NA,NA,NA,NA
"729","0102090060208304",12,NA,2,3,1,1,1,1,4,1,1,98,1
"730","0102090060208305",11,NA,2,3,1,1,1,1,4,1,1,98,1
"731","0102090060208306",10,NA,2,3,1,1,1,1,4,1,1,98,1
"732","0102090060208307",8,NA,1,3,NA,NA,1,1,4,1,1,98,1
"733","0102090060208308",5,NA,1,3,NA,NA,1,1,4,1,1,98,1
"734","0102090060209101",82,NA,1,1,1,6,1,NA,NA,NA,NA,NA,NA
"735","0102090060210401",52,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"736","0102090060210402",41,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"737","0102090060210403",14,NA,1,3,1,1,1,1,98,1,1,98,1
"738","0102090060210404",11,NA,2,3,1,1,1,1,98,1,1,98,1
"739","0102090060210405",8,NA,1,3,NA,NA,1,1,98,1,1,98,1
"740","0102090060210406",7,NA,1,3,NA,NA,1,1,98,1,1,98,1
"741","0102090060210407",NA,46,2,3,NA,NA,1,1,98,1,1,98,1
"742","0102090060210408",NA,13,1,3,NA,NA,1,1,98,1,1,98,1
"743","0102090060212301",41,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"744","0102090060212302",33,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"745","0102090060212303",13,NA,1,3,1,1,1,1,98,1,1,98,1
"746","0102090060212304",9,NA,2,3,NA,NA,1,1,98,1,1,98,1
"747","0102090060212305",7,NA,1,3,NA,NA,1,1,98,1,1,98,1
"748","0102090060212306",NA,44,2,3,NA,NA,1,1,98,1,1,98,1
"749","0102090060212307",NA,16,2,3,NA,NA,1,1,98,1,1,98,1
"750","0102090060214201",72,NA,2,1,1,6,1,NA,NA,NA,NA,NA,NA
"751","0102090060214202",12,NA,2,3,1,1,1,2,98,1,2,98,1
"752","0102090060216201",28,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"753","0102090060216202",52,NA,2,5,1,6,1,NA,NA,NA,NA,NA,NA
"754","0102090060216203",25,NA,1,6,1,1,1,NA,NA,NA,NA,NA,NA
"755","0102090060216204",18,NA,2,6,1,4,1,NA,NA,1,1,98,1
"756","0102090060216205",16,NA,2,6,1,1,1,2,98,1,1,98,1
"757","0102090060216206",13,NA,1,6,1,1,1,2,98,1,1,5,1
"758","0102090060216207",NA,13,1,6,NA,NA,1,2,98,1,1,5,1
"759","0102090060217201",24,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"760","0102090060218201",71,NA,2,1,1,5,1,NA,NA,NA,NA,NA,NA
"761","0102090060218202",12,NA,2,4,1,1,1,2,98,1,2,98,1
"762","0103010020400301",35,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"763","0103010020400302",28,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"764","0103010020400303",8,NA,2,3,NA,NA,1,1,1,1,1,98,1
"765","0103010020401201",39,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"766","0103010020401202",40,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"767","0103010020401203",17,NA,1,3,1,1,1,1,1,1,1,98,1
"768","0103010020401204",13,NA,2,3,1,1,1,1,1,1,1,98,1
"769","0103010020401205",10,NA,2,3,1,1,1,1,1,1,1,98,1
"770","0103010020401206",8,NA,1,3,NA,NA,1,1,1,1,1,98,1
"771","0103010020401207",NA,59,1,3,NA,NA,1,1,1,1,1,98,1
"772","0103010020401301",22,NA,2,1,1,4,1,NA,NA,NA,NA,NA,NA
"773","0103010020401302",NA,7,1,3,NA,NA,1,2,8,14,1,7,14
"774","0103010020402301",90,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"775","0103010020402302",78,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"776","0103010020403201",37,NA,2,1,4,6,1,NA,NA,NA,NA,NA,NA
"777","0103010020403202",17,NA,2,3,4,1,1,2,98,1,1,98,8
"778","0103010020403203",13,NA,2,3,4,1,1,2,98,1,1,98,8
"779","0103010020403204",11,NA,2,3,4,1,1,2,98,1,1,98,8
"780","0103010020403205",8,NA,2,3,NA,NA,1,2,98,1,1,98,8
"781","0103010020403206",NA,59,2,3,NA,NA,1,2,98,1,1,98,8
"782","0103010020404701",30,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"783","0103010020404702",25,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"784","0103010020404703",8,NA,1,3,NA,NA,1,1,3,6,1,9,14
"785","0103010020404704",5,NA,1,3,NA,NA,1,1,3,6,1,9,14
"786","0103010020409101",48,NA,2,1,1,4,1,NA,NA,NA,NA,NA,NA
